epoch,acc,loss,val_acc,val_loss
0,0.565587521,0.685749352,0.608200014,0.666824222
1,0.603212476,0.665755868,0.617500007,0.669721663
2,0.622737527,0.649417222,0.630100012,0.650406182
3,0.637049973,0.633027375,0.640200019,0.628823161
4,0.649612486,0.620428741,0.661800027,0.605871677
5,0.65565002,0.61080122,0.676800013,0.599430799
6,0.670412481,0.596182525,0.677699983,0.587400377
7,0.685874999,0.5771873,0.677600026,0.584829509
8,0.69145,0.567500114,0.694899976,0.562066793
9,0.698312521,0.557769477,0.695299983,0.563684165
10,0.70389998,0.550231397,0.697099984,0.561050296
11,0.708237529,0.543895066,0.706499994,0.547956228
12,0.712125003,0.537437975,0.70630002,0.54587996
13,0.716624975,0.533858478,0.705799997,0.543132782
14,0.721037507,0.52777791,0.715699971,0.53537178
15,0.726875007,0.521048427,0.721899986,0.529328942
16,0.731662512,0.515544951,0.725700021,0.526657701
17,0.737562478,0.510307908,0.724900007,0.529620171
18,0.742824972,0.50475806,0.730599999,0.518744946
19,0.747212529,0.498336583,0.737399995,0.521423638
20,0.751187503,0.492623985,0.742500007,0.512164235
21,0.733437479,0.517939329,0.731100023,0.531243801
22,0.738775015,0.511380374,0.72420001,0.53720361
23,0.747174978,0.50118345,0.741999984,0.516694546
24,0.754124999,0.493921548,0.740700006,0.514613748
25,0.760737479,0.484800488,0.746599972,0.506466269
26,0.764549971,0.478308976,0.755200028,0.498410046
27,0.768462479,0.47139591,0.752499998,0.494915634
28,0.773412526,0.464233696,0.752799988,0.500674546
29,0.779174984,0.458672702,0.75819999,0.499197423
30,0.782949984,0.454799861,0.7597,0.500460327
31,0.78421253,0.450736105,0.757499993,0.499711603
32,0.773687482,0.465741366,0.753000021,0.492296219
33,0.775662482,0.462126166,0.747699976,0.525137126
34,0.780875027,0.455416501,0.754999995,0.522475779
35,0.785187483,0.45010227,0.763599992,0.49377197
36,0.790512502,0.440510243,0.763999999,0.495985508
37,0.794425011,0.433636516,0.764699996,0.490779728
38,0.799912512,0.42905125,0.76700002,0.491674602
39,0.803887486,0.421462387,0.759000003,0.502375185
